dpt,slug,name,clean_name,real_name,postal_code,insee_code,long_deg,lat_deg
4,omergues,LES OMERGUES,les omergues,Omergues,4200,4140,5.6,44.1667
4,annot,ANNOT,annot,Annot,4240,4008,6.66667,43.9667
4,majastres,MAJASTRES,majastres,Majastres,4270,4107,6.3,43.9167
4,sourribes,SOURRIBES,sourribes,Sourribes,4290,4211,6.01667,44.15
5,salerans,SALERANS,salerans,Salérans,5300,5160,5.7,44.25
5,risoul,RISOUL,risoul,Risoul,5600,5119,6.63333,44.65
5,veynes,VEYNES,veynes,Veynes,5400,5179,5.81667,44.5333
5,monetier-allemont,MONETIER-ALLEMONT,monetier allemont,Monêtier-Allemont,5110,5078,5.93333,44.3833
5,remollon,REMOLLON,remollon,Remollon,5190,5115,6.16667,44.4667
5,saint-apollinaire-05,SAINT-APOLLINAIRE,saint apollinaire,Saint-Apollinaire,5160,5130,6.36667,44.5667
5,montmaur-05,MONTMAUR,montmaur,Montmaur,5400,5087,5.88333,44.5833
5,rabou,RABOU,rabou,Rabou,5400,5112,6,44.6
5,roche-des-arnauds,LA ROCHE-DES-ARNAUDS,la roche des arnauds,La Roche-des-Arnauds,5400,5123,5.95,44.5667
5,barcillonnette,BARCILLONNETTE,barcillonnette,Barcillonnette,5110,5013,5.91667,44.4333
5,batie-neuve,LA BATIE-NEUVE,la batie neuve,La Bâtie-Neuve,5230,5017,6.2,44.5667
5,montgenevre,MONTGENEVRE,montgenevre,Montgenèvre,5100,5085,6.71667,44.9333
5,manteyer,MANTEYER,manteyer,Manteyer,5400,5075,5.96667,44.5333
5,cervieres-05,CERVIERES,cervieres,Cervières,5100,5027,6.71667,44.8667
5,saulce,LA SAULCE,la saulce,La Saulce,5110,5162,6.01667,44.4167
5,vallouise,VALLOUISE,vallouise,Vallouise,5290,5175,6.48333,44.85
5,puy-saint-andre,PUY-SAINT-ANDRE,puy saint andre,Puy-Saint-André,5100,5107,6.6,44.8833
5,saint-etienne-en-devoluy,SAINT-ETIENNE-EN-DEVOLUY,saint etienne en devoluy,Saint-Étienne-en-Dévoluy,5250,5139,5.93333,44.7
5,rochette-05,LA ROCHETTE,la rochette,La Rochette,5000,5124,6.15,44.6
5,montgardin,MONTGARDIN,montgardin,Montgardin,5230,5084,6.23333,44.55
5,saint-chaffrey,SAINT-CHAFFREY,saint chaffrey,Saint-Chaffrey,5330,5133,6.6,44.9167
5,saint-julien-en-beauchene,SAINT-JULIEN-EN-BEAUCHENE,saint julien en beauchene,Saint-Julien-en-Beauchêne,5140,5146,5.7,44.6167
5,saint-firmin-05,SAINT-FIRMIN,saint firmin,Saint-Firmin,5800,5142,6.02917,44.7814
5,chabestan,CHABESTAN,chabestan,Chabestan,5400,5028,5.78333,44.4833
5,val-des-pres,VAL-DES-PRES,val des pres,Val-des-Prés,5100,5174,6.68333,44.95
5,sorbiers-05,SORBIERS,sorbiers,Sorbiers,5150,5169,5.56667,44.3667
5,champoleon,CHAMPOLEON,champoleon,Champoléon,5260,5032,6.23333,44.7333
5,espinasses,ESPINASSES,espinasses,Espinasses,5190,5050,6.21667,44.4667
5,saint-crepin-05,SAINT-CREPIN,saint crepin,Saint-Crépin,5600,5136,6.6,44.7
5,saint-laurent-du-cros,SAINT-LAURENT-DU-CROS,saint laurent du cros,Saint-Laurent-du-Cros,5500,5148,6.11667,44.65
5,poligny-05,POLIGNY,poligny,Poligny,5500,5104,6.05,44.7
5,mereuil,MEREUIL,mereuil,Méreuil,5700,5076,5.73333,44.3833
5,chabottes,CHABOTTES,chabottes,Chabottes,5260,5029,6.18333,44.65
5,montmorin-05,MONTMORIN,montmorin,Montmorin,5150,5088,5.55,44.45
5,etoile-saint-cyrice,ETOILE-SAINT-CYRICE,etoile saint cyrice,Étoile-Saint-Cyrice,5700,5051,5.62806,44.3153
5,ristolas,RISTOLAS,ristolas,Ristolas,5460,5120,6.95,44.7667
5,arvieux,ARVIEUX,arvieux,Arvieux,5350,5007,6.73333,44.7667
5,prunieres-05,PRUNIERES,prunieres,Prunières,5230,5106,6.33333,44.55
5,chapelle-en-valgaudemar,LA CHAPELLE-EN-VALGAUDEMAR,la chapelle en valgaudemar,La Chapelle-en-Valgaudémar,5800,5064,6.19473,44.817
5,neffes,NEFFES,neffes,Neffes,5000,5092,6.03333,44.5
5,orcieres,ORCIERES,orcieres,Orcières,5170,5096,6.33333,44.6833
5,pelvoux,PELVOUX,pelvoux,Pelvoux,5340,5101,6.48667,44.8692
5,benevent-et-charbillac,BENEVENT-ET-CHARBILLAC,benevent et charbillac,Bénévent-et-Charbillac,5500,5020,6.08612,44.6975
5,saint-veran,SAINT-VERAN,saint veran,Saint-Véran,5350,5157,6.86667,44.7
5,lagrand,LAGRAND,lagrand,Lagrand,5300,5069,5.75,44.3333
5,saint-bonnet-en-champsaur,SAINT-BONNET-EN-CHAMPSAUR,saint bonnet en champsaur,Saint-Bonnet-en-Champsaur,5500,5132,6.0764,44.682
